step,rl-loss,episode
309,0.1748064011335373,14
310,0.29172617197036743,14
311,0.2518761157989502,14
312,0.3376044034957886,14
313,0.18287403881549835,14
314,0.2824319005012512,14
315,0.2819844186306,14
316,0.2509092688560486,14
317,0.30010759830474854,14
318,0.40936076641082764,14
319,0.2959418296813965,14
320,0.2251371145248413,15
321,0.2803112268447876,15
322,0.3550582528114319,15
323,0.26654475927352905,15
324,0.2245652973651886,15
325,0.3176466226577759,15
326,0.39371776580810547,15
327,0.2480073869228363,15
328,0.2959196865558624,15
329,0.18704774975776672,15
330,0.24663963913917542,15
331,0.1540955901145935,15
332,0.3718035817146301,15
333,0.16019116342067719,15
334,0.2981647849082947,15
335,0.15870262682437897,15
336,0.22233453392982483,15
337,0.3015230596065521,15
338,0.40550166368484497,15
339,0.24115431308746338,15
340,0.27680540084838867,15
341,0.24488027393817902,15
342,0.3085823655128479,15
343,0.4459547996520996,15
344,0.24151022732257843,15
345,0.335023432970047,15
346,0.3546261489391327,15
347,0.22007261216640472,15
348,0.23420539498329163,15
349,0.3048471510410309,15
350,0.2078278511762619,15
351,0.28544220328330994,15
352,0.2427140474319458,16
353,0.28647005558013916,16
354,0.16916656494140625,16
355,0.2713376581668854,16
356,0.2402155101299286,16
357,0.3334132730960846,16
358,0.20429234206676483,16
359,0.2584688365459442,16
360,0.23551981151103973,16
361,0.19712595641613007,16
362,0.22552739083766937,16
363,0.2684110701084137,16
364,0.2571103274822235,16
365,0.2871711850166321,16
366,0.27159643173217773,16
367,0.1667279750108719,16
368,0.15501759946346283,16
369,0.2151053249835968,16
370,0.12514083087444305,16
371,0.3490195572376251,16
372,0.21547387540340424,16
373,0.33294543623924255,16
374,0.22002793848514557,17
375,0.32953035831451416,17
376,0.19748272001743317,17
377,0.3556336760520935,17
378,0.23671939969062805,17
379,0.36464881896972656,17
380,0.22084908187389374,17
381,0.1787000596523285,17
382,0.2490987330675125,17
383,0.22729270160198212,17
384,0.36290791630744934,17
385,0.3982810378074646,17
386,0.31133371591567993,17
387,0.2632300555706024,17
388,0.27539172768592834,17
389,0.21937114000320435,17
390,0.31407633423805237,18
391,0.1372118890285492,18
392,0.20345047116279602,18
393,0.208529993891716,18
394,0.24763524532318115,18
395,0.1899351179599762,18
396,0.2076844573020935,18
397,0.2816668152809143,18
398,0.2675595283508301,18
399,0.14311251044273376,18
400,0.2911222577095032,18
401,0.27541378140449524,18
402,0.1501649022102356,18
403,0.26622480154037476,18
404,0.29169946908950806,19
405,0.1563800424337387,19
406,0.3419792652130127,19
407,0.3377687633037567,19
408,0.23243248462677002,19
409,0.25849688053131104,19
410,0.25781381130218506,19
411,0.2830946445465088,19
412,0.27733999490737915,19
413,0.2340756356716156,19
414,0.23344838619232178,19
415,0.25566962361335754,19
416,0.20441646873950958,19
417,0.2003895491361618,19
418,0.23729629814624786,19
419,0.3120512366294861,19
420,0.2488802820444107,19
421,0.2610524594783783,19
422,0.22767779231071472,19
423,0.24031132459640503,19
424,0.18056121468544006,19
425,0.27678942680358887,20
426,0.19298359751701355,20
427,0.17719295620918274,20
428,0.2729852497577667,20
429,0.1388540267944336,20
430,0.2547047436237335,20
431,0.2487233579158783,21
432,0.26079654693603516,21
433,0.2733243703842163,21
434,0.18044792115688324,21
435,0.31433945894241333,21
436,0.2660403847694397,21
437,0.352791428565979,21
438,0.2245829701423645,21
439,0.2729334533214569,22
440,0.20746514201164246,22
441,0.16843076050281525,22
442,0.2497556060552597,22
443,0.26845455169677734,22
444,0.17107751965522766,22
445,0.34361472725868225,22
446,0.2727251350879669,22
447,0.2119835615158081,22
